topic0,preis,dollar,ol,je,olpreis,opec,gold,lit,shell,nachfrag,barrel,weltweit,rohstoff,tonn,bp,benzin,gestieg,produktion,tankstell,london,pro,steigend,steig,rohol,erdol,raffineri,expert,erreicht,knapp,pipelin,niedrig,yukos,hoch,welt,cent,gas,benzinpreis,durft,forder,erhoh,reserv,kostet,angebot,metall,total,heizol,energi,millionen_tonnen,zuletzt,taglich,aluminium,diesel,leicht,liefer,olkonzern,elf,kupf,angesicht,produzent,saudi,olkonz,anstieg,verbrauch,roholpreis,erdgas,gefall,dubai,gering,vergangenen_woche,bestand,fass,arabi,brent,vorrat,durchschnitt,erhoht,goldpreis,druck,millionen_barrel,erwart,kraftstoff,million,edelmetall,zud,exxon,sogar,bedarf,niveau,kraftig,kaffe,aral,lieg,trotz,iea,jung,liegt,sort,notier,steigt,abhang
topic72,milliarden_dollar,dollar,amerikan,new_york,millionen_dollar,je,akti,gewinn,cent,kanad,weltweit,inc,kanada,of,geschaft,corp,mrd,bekannt,brauerei,new_yorker,weltgrosst,group,bundesstaat,gegenub,american,co,milliard,wall_street,gesellschaft,teilt,verdient,welt,ge,cola,wert,kaliforni,firma,ubernahm,coca,citigroup,wall_street_journal,mrd_euro,new,mark,brau,america,global,enron,analyst,zweitgrosst,fuhrend,bloomberg,firm,brunn,corporation,verkauf,mrd_dm,verkauft,investmentbank,united,boston,wall,vergangenen_jahr,general_electric,street,legt,nestlé,company,erhoht,chicago,first,disney,kauft,fiel,ebenfall,los_angeles,gehor,sech,konzernchef,milliarde_dollar,verbucht,texas,septemb,bier,verlust,zahlt,konz,ottawa,oetk,chairman,neun,kanadas,philip_morris,grupp,johnson,manhattan,zwolf,kauf,bar,konkurrent
 ,0.037,0.036,0.032,0.027,0.023,0.011,0.01,0.01,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic73,betont,klar,bleib,hinzu,off,meint,ziel,woll,wort,darub,fugt,schritt,daran,seh,fest,schwierig,schnell,erwart,angesicht,notwend,zukunft,konkret,bekraftigt,weiterhin,zugleich,erreich,aussert,zweifel,stellt,rasch,zeigt,chanc,fuhr,hoff,deshalb,besteh,erfolg,interess,sollt,voll,uberzeugt,situation,signal,blick,trotz,ansicht,hinaus,problem,setz,liess,wunsch,bedeut,beding,raumt,position,bring,schaff,gegenwart,bleibt,voraussetz,losung,vorstell,gemacht,erfull,stell,gegeb,zuruckhalt,zeitpunkt,unterstrich,notig,tun,plan,entschloss,festhalt,zuversicht,uberzeug,bald,vollig,erfullt,diskussion,ankund,and,dau,uberleg,einschatz,gelt,gleichzeit,entschied,auss,begrusst,richtung,hoffnung,absicht,denkbar,moglicherweis,eindeut,skeptisch,brauch,mach,sprach
 ,0.03,0.022,0.018,0.015,0.015,0.015,0.014,0.013,0.012,0.012,0.012,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002
topic74,anschlag,verletzt,getotet,mensch,polizei,tot,terrorist,attentat,mann,berichtet,soldat,irak,mutmass,nah,festgenomm,stadt,tat,opf,bagdad,mindest,erschoss,bomb,polizist,explosion,grupp,schwer,mitglied,angriff,algeri,starb,bombenanschlag,extremist,sicherheitskraft,tod,bewaffnet,bekannt,leb,arme,verdacht,terroranschlag,gekomm,ums,behord,unbekannt,mord,haus,gebaud,algi,islam,explodiert,sprengsatz,gefund,samstag,ermordet,sprengstoff,festnahm,leich,verubt,feu,alger,hauptstadt,teilt,kilomet,uberfall,schuss,kam,waff,krankenhaus,jahrig,darunt,zivilist,aufstand,verantwort,terror,angehor,sudlich,amerikan,islamist,entdeckt,botschaft,vermut,sunnit,arab,uberblick,schiit,zerstort,auto,luft,geschoss,geheimdien,el_kaida,organisation,ermittl,todlich,handelt,sech,fahrzeug,kairo,schiitisch,augenzeug
 ,0.032,0.021,0.018,0.013,0.013,0.012,0.011,0.011,0.01,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic75,damal,kam,ging,anfang,stand,letzt,liess,ukrain,blieb,inzwisch,zog,lang,alt,nachd,zunach,geword,begann,fuhrt,verlor,mitt,vergang,sah,zuletzt,kiew,schliesslich,nie,bracht,galt,gemacht,hielt,setzt,obwohl,nahm,fand,geschicht,stellt,gehort,zweit,bekannt,versucht,trat,zuvor,folgt,zusamm,fiel,gekomm,seitd,jung,heutig,jahrzehnt,seith,sogar,erfolg,fest,gelang,einst,uberrasch,bild,danach,gebracht,offenbar,schwer,bald,bekam,nam,erstmal,stet,wend,nah,trotz,geblieb,einzig,geriet,einstig,bevor,jahrelang,gegang,hoch,vollig,sorgt,herb,zeigt,wollt,ehemal,erhielt,kurz,statt,dennoch,legt,scheitert,spat,heraus,schlug,schnell,reih,hand,gefuhrt,gegeb,erlebt,90er_jahre
 ,0.036,0.025,0.02,0.018,0.014,0.014,0.013,0.012,0.012,0.01,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic76,branch,weltweit,ausland,herstell,umsatz,produktion,wachstum,produkt,vergangenen_jahr,geschaft,marktanteil,steig,anteil,bereich,wachs,inland,nachfrag,asi,anbiet,industri,zunehm,beschaftigt,rechnet,trend,knapp,geschaftsfuhr,jahrlich,export,maschin,maschinenbau,wachsend,million,osteuropa,ausbau,fuhrend,produziert,absatz,entwickl,drittel,kapazitat,marktfuhr,steigend,verstarkt,vorjahr,zweistell,konkurrenz,erzielt,halft,erreicht,auftrag,wach,fabrik,fertig,kund,setzt,weltmarkt,investition,investiert,trotz,firm,wettbewerb,verband,boom,kraftig,numm,lieg,expansion,betrieb,gesamt,grundig,gestieg,deutschen_markt,inzwisch,zulief,vertrieb,werk,mitarbeit,leicht,vergangenen_jahren,entwickelt,westeuropa,besond,erreich,profiti,nächsten_jahren,mark,position,produzi,baut,produzent,anlagenbau,laufenden_jahr,ausgebaut,gewachs,wachstumsrat,allein,preis,profitiert,vdma,zuwachsrat
 ,0.027,0.018,0.017,0.016,0.014,0.013,0.012,0.011,0.01,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic77,bank,institut,sparkass,frankfurt,kredit,deutsche_bank,kund,commerzbank,westlb,landesbank,geschaft,dresdner_bank,deutschen_bank,grossbank,kreditinstitut,hvb,hypo,kfw,vereinsbank,privat,munch,leasing,bilanzsumm,fusion,tocht,banking,hypovereinsbank,filial,offent,dresdn,risikovorsorg,haus,risik,investmentbank,breu,rechtlich,eigenkapital,basel,finanzdienstleist,vorstand,privatbank,lb,vorstandssprech,geldhaus,versicher,bankgesellschaft,privatkund,bayer,genossenschaft,ubs,hypothekenbank,ing,main,finanzier,geldinstitut,postbank,zud,privatkundengeschaft,bausparkass,ausland,ikb,dusseldorf,kreditgeschaft,vermogensverwalt,investmentbanking,vermog,direktbank,bankenaufsicht,raiffeisenbank,volksbank,kreditwirtschaft,hypothek,immobili,einlag,geschaftsbank,finanzinstitut,bilanz,gesamt,kapitalmarkt,bhw,unicredit,lbbw,neugeschaft,dg_bank,verkauf,citibank,darleh,rating,bankgesellschaft_berlin,bankhaus,ertrag,neb,kreditvergab,bhf,genossenschaftsbank,bankgeschaft,bankengrupp,of,giroverband,engagement
 ,0.122,0.02,0.018,0.014,0.013,0.012,0.012,0.011,0.01,0.01,0.009,0.008,0.008,0.008,0.007,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
topic78,osterreich,prag,osteuropa,ungarn,tschechisch,tschechi,pol,rumani,bulgari,fpo,slowakei,ungar,beitritt,mittel,sloweni,budap,haid,slowak,ovp,kron,mitglied,ruman,aufnahm,freiheit,spo,ehemal,mitgliedschaft,erweiter,bundeskanzl,schilling,mind,havel,bukar,gegenub,gemeinsam,westlich,vertret,westeuropa,grenz,durft,sudetendeutsch,schussel,republ,osteuropas,besond,bratislava,os,mitteleuropa,meciar,vorsitz,meint,tschech,laut,klima,standard,tageszeit,recht,ca,interess,jörg_haider,erklar,aufgenomm,off,zud,partn,offiziell,csfr,bleib,letzt,schritt,nah,gehort,zweit,vertreib,wolfgang_schüssel,problem,gemacht,nachrichtenagentur,gilt,vergang,slowen,ods,geword,tschechoslowakei,gehor,klestil,bezeichnet,salzburg,zukunft,nachbarn,trotz,tschechischen_republik,nachbarland,klar,gefuhrt,jung,vaclav_havel,zuletzt,zeman,od
 ,0.03,0.022,0.02,0.018,0.016,0.015,0.011,0.011,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic79,israel,palastinens,jerusal,arafat,nahost,agypt,arab,hamas,syri,gaza,libanon,israelis,friedensprozess,westjordanland,scharon,nahen_osten,fried,kairo,gazastreif,judisch,libanes,plo,hisbollah,tel_aviv,gebiet,syrisch,jordani,beirut,netanjahu,siedlung,barak,abbas,ramallah,radikal,damaskus,streif,rabin,besetzt,abzug,treff,per,gewalt,ruckzug,hebron,fuhr,palastinensergebiet,fatah,organisation,mubarak,jassir_arafat,autonomiebehord,angriff,stadt,aussenminist,waffenruh,arme,jordan,beweg,region,likud,abkomm,palästinenserpräsident_jassir_arafat,seit,verhandl,raket,washington,assad,jerusalem,israelische_armee,sudlibanon,konflikt,islam,israelische_soldaten,plan,amman,beginn,nah,grenz,besetzten_gebieten,premi,arbeitspartei,ariel_scharon,trupp,extremist,olmert,friedensgesprach,israelische_regierung,benjamin_netanjahu,jericho,ross,unterdess,mitglied,militant,haaretz,verteidigungsminist,abu,fuhrung,jud,bethleh,autonomi
 ,0.092,0.055,0.015,0.014,0.013,0.012,0.011,0.011,0.01,0.01,0.01,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic80,nato,einsatz,soldat,militar,bundeswehr,trupp,verteidigungsminist,streitkraft,general,afghanistan,ruh,arme,waff,verteidigungsministerium,scharping,allianz,beteil,mann,wehrpflicht,mandat,stationiert,bundnis,zivil,mission,eingesetzt,offizi,minist,struck,aufgab,entsend,panz,sicherheitspolit,schutz,einheit,kosovo,generalsekretar,dien,abzug,angriff,operation,unterstutz,luftwaff,verteid,flugzeug,ziel,bonn,raket,friedenstrupp,isaf,auss,mazedoni,bundesregier,kontingent,kampfflugzeug,balkan,fuhrung,steinmei,rahm,gefahr,fried,kommando,engagement,aussenpolit,schutztrupp,luftangriff,beteiligt,verteidigungspolit,weu,munition,aktion,typ,auftrag,bosni,stell,betont,hauptquarti,kasern,marin,verfug,hubschraub,robertson,bundeswehrsoldat,ubernehm,kommandeur,somalia,stutzpunkt,aufbau,ausserhalb,plan,deutschen_soldaten,ausrust,heer,bundestag,ausbild,deutsche_soldaten,sollt,leist,hilf,eingreiftrupp,militareinsatz
 ,0.058,0.034,0.033,0.027,0.026,0.013,0.011,0.01,0.01,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic81,cdu,bad,westfal,sachs,nordrhein,niedersachs,brandenburg,ministerprasident,anhalt,hess,thuring,bundesland,bay,dusseldorf,rheinland,landtag,bund,nrw,landesregier,stuttgart,hessisch,dresd,pfalz,hannov,saarland,mainz,potsdam,erfurt,magdeburg,wurttemberg,vorpomm,sachsisch,wiesbad,landtagswahl,schwerin,bundesweit,stolp,regierungschef,minist,clement,wirtschaftsminist,saarbruck,biedenkopf,teufel,pfalzisch,kreis,bayer,freistaat,landesvorsitz,holstein,schleswig,staatskanzlei,sudw,brem,regiert,saar,oberburgermeist,rhein,gefuhrt,munst,landesverband,landeschef,dresdn,kundigt,kassel,landkreis,landtagsfraktion,dortmund,oetting,platzeck,glogowski,kommun,kommunal,bielefeld,milbradt,samstag,leipzig,heitmann,weimar,bild,finanzausgleich,innenminist,landtagsabgeordnet,koblenz,kali,ringstorff,justizminist,ruhr,erhalt,landerfinanzausgleich,_westfalen,landeshauptstadt,landespolit,hall,finanzminist,gemeinsam,ausgesproch,vorpommern,staatssekretar,johannes_rau
 ,0.055,0.034,0.034,0.032,0.03,0.023,0.021,0.021,0.019,0.018,0.018,0.017,0.016,0.015,0.015,0.015,0.014,0.013,0.012,0.012,0.012,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic82,kirch,papst,kathol,mensch,vatikan,christlich,leb,christ,kardinal,glaubig,bischof,rom,evangel,glaub,gott,heilig,vorsitz,gemeinsam,koln,ekd,besuch,priest,erzbischof,gesellschaft,abtreib,kirchlich,papst_johannes_paul_ii,katholischen_kirche,welt,orthodox,religion,wort,religios,homosexuell,theolog,sprach,gemeind,gottesdien,mainz,geistlich,fried,rat,dialog,johannes_paul_ii,fulda,pfarr,gebet,betont,regensburg,bischofskonferenz,oberhaupt,mess,katholische_kirche,berat,okumen,erklar,wurzburg,bistum,vertret,durf,jahrig,gerecht,romisch,staatlich,kirchentag,reis,kreuz,thema,zeich,meint,besond,bild,protestant,samstag,deutschen_bischofskonferenz,synod,frau,st,predigt,zugleich,gemeinschaft,patriarch,landeskirch,heisst,jugend,karl_lehmann,ausdruck,pilg,ratzing,einheit,traditionell,tod,menschlich,meisn,million,dien,klost,mitglied,alt,person
 ,0.031,0.02,0.017,0.012,0.009,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic83,prozess,gericht,verurteilt,angeklagt,jahrig,anklag,verfahr,verteid,ehemal,urteil,ex,ddr,verantwort,justiz,mord,staatsanwaltschaft,anwalt,tat,zeug,straf,haft,verbrech,landgericht,haftbefehl,aussag,vorgeworf,damal,mann,vorwurf,raf,ausliefer,schuldig,schwer,gefangnis,verurteil,haftstraf,honeck,beschuldigt,mutmass,staatsanwalt,opf,bundesanwaltschaft,versucht,bewahr,untersuchungshaft,jahren_haft,tod,beantragt,entlass,jurist,festgenomm,beteiligt,wirft,verhaftet,geldstraf,freispruch,antrag,erhob,sed,tribunal,oberst,alt,gefordert,freiheitsstraf,gestellt,gemacht,lebenslang,ermittl,beweis,verhangt,last,gestand,gelegt,oberlandesgericht,justizminist,festnahm,begang,betrug,ermord,unschuld,gestandnis,strafrecht,straftat,verdacht,inhaftiert,ausgeliefert,septemb,kriegsverbrech,bundesgerichtshof,freigesproch,verhaft,novemb,aufgehob,flucht,gesproch,vernehm,mandant,person,sitzt,krenz
 ,0.034,0.022,0.02,0.02,0.017,0.014,0.013,0.012,0.011,0.011,0.011,0.011,0.009,0.009,0.009,0.009,0.009,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic84,hamburg,brem,kiel,schleswig,holstein,umwelt,werft,ziel,umweltschutz,okolog,klimaschutz,rostock,protokoll,lubeck,kyoto,schill,rauch,ausstoss,emission,umweltminist,umweltpolit,hansestadt,nord,treibhausgas,kohlendioxid,klima,trittin,bundesregier,vulkan,massnahm,industri,verbund,erreich,reduzier,klimawandel,weltweit,norddeutsch,nachhalt,betont,schiffbau,statt,hdw,verbind,topf,natur,naturschutz,luft,senat,erreicht,zigarett,oko,schutz,grun,folg,global,pro,besond,verantwort,gefordert,grenzwert,konkret,bund,verringer,thema,burgerschaft,verpflicht,bild,energi,erhalt,ausserd,stralsund,verring,sollt,reduzi,bonn,konferenz,scherf,emissionshandel,alternativ,handel,ansicht,vorpomm,belast,bremer_vulkan,senk,setz,burgermeist,wismar,rauchverbot,erfolg,beitrag,vereinbar,bremerhav,umweltfreund,verpflichtet,industrieland,freiwill,nannt,gal,flensburg
 ,0.093,0.019,0.016,0.015,0.014,0.011,0.011,0.01,0.008,0.008,0.008,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic85,frankfurt,bors,handel,main,gehandelt,option,geschaft,gesellschaft,standard,vorstand,bilanz,sec,deutsche_börse,wirtschaftspruf,bislang,transparenz,euronext,nasdaq,deutschen_börse,firm,zud,anleg,aufsicht,wert,finanzplatz,lse,brok,genannt,ad,kapitalmarkt,nys,bafin,off,wertpapi,eurex,terminbors,information,interess,derivat,handeln,kpmg,mitglied,borsenaufsicht,erhalt,aktiengesellschaft,dsw,regeln,borsennotiert,exchang,elektron,aufsichtsbehord,neb,xetra,mitteil,borsengang,plan,amerikan,kontrakt,gehalt,ausserd,corporat,hoc,futur,einfuhr,finanzmarkt,bekannt,start,makl,bank,syst,notiert,entsprech,vertret,bezug,neuen_markt,darub,ausland,gegenub,aktienoption,abwickl,direkt,governanc,schritt,vorstandsmitglied,insid,pruf,fuhrend,and,unabhang,kodex,inzwisch,marktteilnehm,handelt,transaktion,einzeln,ord,sitz,heisst,wertpapierbors,gang
 ,0.047,0.031,0.015,0.012,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic86,grun,fdp,partei,rot,pds,koalition,parteitag,vorsitz,bundnis,sozialdemokrat,liberal,cdu,fraktion,lafontain,bonn,link,delegiert,bundestagswahl,mollemann,fraktionschef,bundestag,parteichef,wahl,westerwell,linkspartei,scharping,mitglied,koalitionspartn,landtagswahl,oskar_lafontaine,debatt,fraktionsvorsitz,wahlkampf,union,mehrheit,große_koalition,bundestagsfraktion,parteivorsitz,kanzl,landesvorsitz,stellvertret,opposition,spitz,klar,spitzenkandidat,abgeordnet,bundestagsabgeordnet,stimm,gysi,samstag,rudolf_scharping,inhalt,landesverband,gerhard_schröder,basis,generalsekretar,großen_koalition,koalitionsverhandl,bundesvorstand,sed,zusammenarbeit,jürgen_möllemann,landesparteitag,sonderparteitag,kur,sozial,bundeskanzler_gerhard_schröder,joschka_fischer,kanzlerkandidat,wasg,woll,alternativ,parteispitz,bundesvorsitz,landesvorstand,wochen,prasidium,guido_westerwelle,lambsdorff,grünen_koalition,fuhrung,position,bundesgeschaftsfuhr,wolfgang_gerhardt,koalitionsvertrag,trittin,gregor_gysi,diskussion,bundesparteitag,grüne_koalition,muntefering,engholm,gelb,gewahlt,fortsetz,parteifuhr,auseinandersetz,genoss,legislaturperiod,diepg
 ,0.095,0.064,0.034,0.031,0.028,0.019,0.013,0.011,0.011,0.011,0.01,0.01,0.01,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
